"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Item","Remaining","Total Cost","Avg. Unit Cost","Sale Price","Margin"
"210000054959","760702285753","","","","wool killington mountain hiker dark green large maggie's","3","$42.00","$14.00","$21.99","36.33%"
"210000054969","760702285739","","","","wool killington mountain hiker raspberry large maggie's","3","$38.19","$12.73","$21.69","41.31%"
"210000054985","760702120641","","","","cotton ragg sock navy medium maggie's","3","$20.40","$6.80","$11.99","43.29%"
"210000054987","760702120603","","","","cotton ragg sock solid chestnut medium maggie's","1","$6.80","$6.80","$11.99","43.29%"
"210000055403","781723720030","","237805","","Fino French Press Chrome 8 Cup","2","$33.38","$16.69","$28.99","42.43%"
"210000055432","760702120672","","","","cotton ragg sock solid olive large maggie's","2","$13.60","$6.80","$11.99","43.29%"
"210000055436","760702120658","","","","cotton ragg sock navy large maggie's","3","$20.40","$6.80","$11.99","43.29%"
"210000055438","760702120535","","","","cotton ragg sock heathered purple large maggie's","4","$27.20","$6.80","$11.99","43.29%"
"210000055440","760702120627","","","","cotton ragg sock solid purple medium maggie's","2","$14.40","$7.20","$11.99","39.95%"
"210000055454","810037351866","","","","socks that save lgbtq lives grey SMALL","2","$16.00","$8.00","$14.99","46.63%"
"210000055472","810037351491","","","","socks that protect monkeys SMALL","1","$6.30","$6.30","$13.99","54.97%"
"210000055629","749174099181","","","","Earth Friendly ECOS Pet Wipes","5","$17.60","$3.52","$4.69","24.95%"
"210000055631","","","","","Mountain Rose Bulk Soap Nuts","1","$10.50","$10.50","$10.99","4.46%"
"210000055741","760702120832","","","","cotton ragg sock solid taupe large maggie's","1","$7.50","$7.50","$11.99","37.45%"
"210000055745","760702290672","","","","wool crew heatherd rosewood medium maggie's","3","$29.31","$9.77","$16.99","42.5%"
"210000056079","732913228331","","","","Seventh Generation Fabric Softener 32 oz Free & Clear","3","$13.88","$4.63","$7.39","37.39%"
"210000056193","788832003955","","","","GladRags Thong Panty Liners (3) Assorted Colors","5","$73.70","$14.74","$24.49","39.81%"
"210000056203","732913228348","","","","Seventh Generation Fabric Softener 32 oz Lavender","3","$16.02","$5.34","$8.29","35.59%"
"210000056251","810029131391","","","","World Centric Container & Lid Compostible 32 oz 5ct","9","$42.30","$4.70","$4.69","-0.21%"
"210000056253","810029131407","","","","World Centric Container & Lid Compostible 48 oz 5ct","3","$8.52","$2.84","$5.19","45.28%"
"210000056505","846396095691","","","","Enviroscent Scent Stix Refills Lavender","2","$0.02","$0.01","$9.99","99.9%"
"210000056511","846396095707","","","","Enviroscent Scent Stix Refills Spring","2","$0.02","$0.01","$9.99","99.9%"
"210000056531","860495001308","","","","Top The Organic Tampon Compact Applicator Super 16 ct.","1","$0.01","$0.01","$7.99","99.87%"
"210000056663","851871008486","","","","Eco Vessel Boulder 20 oz Northern Lights","1","$14.47","$14.47","$19.54","25.95%"
"210000056664","851871008479","","","","Eco Vessel Boulder 20 oz Lavender","3","$46.14","$15.38","$23.89","35.62%"
"210000056730","851871008967","","","","Eco Vessel S.S. Wander Ware Utensil  Set Rainbow","1","$12.23","$12.23","$19.99","38.82%"
"210000056732","851871008806","","","","Eco Vessel S.S. Wander Ware Utensil  Set Black Shawdow","1","$12.23","$12.23","$20.19","39.43%"
"210000056734","850015732829","","","","Eco Vessel Boulder 20 oz Summer Sun","2","$28.94","$14.47","$20.31","28.75%"
"210000056736","850015732928","","","","Eco Vessel Splash 12 oz  Underwater","1","$6.76","$6.76","$8.92","24.22%"
"210000056738","702865478221","","","","Eco Vessel S.S. Splash 12 oz  Camping","1","$6.76","$6.76","$10.49","35.56%"
"210000057062","781723437556","","22164","","HIC Carrara Marble Mortar & Pestle 4""","2","$21.38","$10.69","$17.89","40.25%"
"210000057079","786035000443","","","","Jade and Pearl Sea Pearl Sponge Tampons Multi Pack","1","$15.00","$15.00","$27.19","44.83%"
"210000057276","810119021649","","CB0017","","Full Circle Dish Cloths 3 ct Gray","3","$20.07","$6.69","$10.39","35.61%"
"210000057543","815369014830","","","","Cadia Paper Towels Recycled Single","18","$29.88","$1.66","$2.59","35.91%"
"210000057575","760702290658","","","","wool crew heathered dove medium maggie's","3","$29.31","$9.77","$16.99","42.5%"
"210000057579","760702290689","","","","wool crew heathered rosewood large maggie's","2","$19.54","$9.77","$16.99","42.5%"
"210000057581","760702290696","","","","wool crew heathered cornflower medium maggie's","1","$9.77","$9.77","$16.99","42.5%"
"210000057583","760702290702","","","","wool crew heathered cornflower large maggie's","3","$29.31","$9.77","$16.99","42.5%"
"210000057585","760702280017","","","","wool snuggle heathered dove large socks maggie's","1","$9.77","$9.77","$16.99","42.5%"
"210000057624","815369012553","","","","Cadia Dish Soap Liquid Free & Clear Unscented  25 oz","6","$19.98","$3.33","$5.19","35.84%"
"210000057644","628451738459","","","","Caboo Bath Tissue Single Roll","44","$66.36","$1.51","$2.29","34.14%"
"210000057707","717256000608","","","","Biokleen Liq. Laundry 32oz Citrus","1","$5.50","$5.50","$10.49","47.57%"
"210000057829","899962000025","","","","Tru Earth Laundry Detergent Strips 32 Loads Baby","12","$117.60","$9.80","$18.39","46.71%"
"210000057888","747356874588","","","","Evolution Salt Lamp Night Light Moon","2","$13.94","$6.97","$14.99","53.5%"
"210000057960","760702008079","","","","arm warmer ribbed raisin","2","$29.00","$14.50","$22.49","35.53%"
"210000057962","760702008062","","","","arm warmer ribbed black","1","$14.50","$14.50","$22.49","35.53%"
"210000057964","760702008086","","","","arm warmer ribbed blue","3","$43.50","$14.50","$22.49","35.53%"
"210000058045","760702865122","","","","cushion dress herringbone bl xl maggie's","3","$22.50","$7.50","$11.99","37.45%"
"210000058100","632634400002","","","","Ark Naturals Pet Toothpaste Chewable","2","$22.78","$11.39","$17.69","35.61%"
"210000058150","813199010541","","","","Green2   Bath Tissue 12 2ply","1","$12.84","$12.84","$19.99","35.77%"
"210000058195","9351347000002","","","","Patch Bandages Adhesive Strips Natural exp 3/23","1","$4.46","$4.46","$5.59","20.21%"
"210000058230","899962000001","","","","Tru Earth Laundry Detergent Eco Strips 32 Loads Fresh Linen","7","$53.20","$7.60","$18.39","58.67%"
"210000058320","087052725891","","","","Veggie Wash Spray Org 16oz","1","$4.59","$4.59","$6.99","34.33%"
"210000058372","788832003856","","","","GladRags Thong Panty Liners (3) Organic Un-Dyed","3","$47.37","$15.79","$25.99","39.25%"
"210000058412","760702491055","","","","cotton sport crew white medium","1","$6.33","$6.33","$10.99","42.4%"
"210000058414","760702481025","","","","cotton sport crew white extra large","1","$6.33","$6.33","$10.99","42.4%"
"210000058416","760702481032","","","","cotton sport crew black extra large","2","$12.66","$6.33","$10.99","42.4%"
"210000058420","760702499952","","","","cotton sport crew black medium","1","$6.33","$6.33","$10.99","42.4%"
"210000058426","760702290023","","","","wool urban trail ankle dark green medium","4","$32.40","$8.10","$12.99","37.64%"
"210000058428","760702290030","","","","wool urban trail ankle dark green large","5","$40.50","$8.10","$12.99","37.64%"
"210000058430","760702290054","","","","wool urban trail ankle dark purple large","1","$7.65","$7.65","$12.99","41.11%"
"210000058432","760702290047","","","","wool urban trail ankle dark purple medium","1","$7.65","$7.65","$12.99","41.11%"
"210000058434","760702290009","","","","wool urban trail ankle dark black medium","3","$22.95","$7.65","$11.99","36.2%"
"210000058436","760702290016","","","","wool urban trail ankle dark black large","5","$40.50","$8.10","$12.99","37.64%"
"210000058513","749174097217","","","","Ecos Dishmate Liquid Dish soap Free & Clear 25oz","6","$22.50","$3.75","$5.79","35.23%"
"210000058565","850041915951","","","","Sunbeam Candles Beeswax Votive  Lmgrass, Sage, Ginger (orange)","10","$25.00","$2.50","$3.99","37.34%"
